Latitude,Longitude,Hour in the year,Year,Slope elevation angle,Slope azimuth angle,cos_i,elev
53.074,32.866,3893,2011,61.417,-63.642,0.65114,11.517
53.074,32.866,3161,2011,61.417,-63.642,-0.57588,21.148
53.074,32.866,3034,2011,61.417,-63.642,0.89065,48.277
53.074,32.866,2541,2011,61.417,-63.642,-0.93038,-17.292
53.074,32.866,5064,2011,61.417,-63.642,-0.50508,-18.5
53.074,32.866,8710,2011,61.417,-63.642,-0.88168,-53.534
53.074,32.866,4286,2011,61.417,-63.642,0.14138,51.605
53.074,32.866,8583,2011,61.417,-63.642,-0.22597,3.1447
53.074,32.866,1528,2011,61.417,-63.642,-0.39439,12.464
53.074,32.866,7781,2011,61.417,-63.642,0.59794,-20.795
53.074,32.866,6803,2011,42.763,129.26,-0.086322,29.538
53.074,32.866,7154,2011,42.763,129.26,-0.56367,-39.744
53.074,32.866,6014,2011,42.763,129.26,0.45351,35.369
53.074,32.866,1127,2011,42.763,129.26,-0.13223,-47.281
53.074,32.866,4809,2011,42.763,129.26,0.0252,43.553
53.074,32.866,6138,2011,42.763,129.26,0.57682,1.048
53.074,32.866,767,2011,42.763,129.26,-0.20259,-51.945
53.074,32.866,295,2011,42.763,129.26,-0.75624,-8.1526
53.074,32.866,2888,2011,42.763,129.26,-0.15214,31.867
53.074,32.866,8083,2011,42.763,129.26,0.10669,-29.686
53.074,32.866,5257,2011,59.605,-92.988,0.10814,-19.188
53.074,32.866,7212,2011,59.605,-92.988,0.061005,23.63
53.074,32.866,3794,2011,59.605,-92.988,0.39433,-8.8676
53.074,32.866,7402,2011,59.605,-92.988,0.44638,18.556
53.074,32.866,5442,2011,59.605,-92.988,-0.73783,10.214
53.074,32.866,7592,2011,59.605,-92.988,0.6778,5.7213
53.074,32.866,968,2011,59.605,-92.988,0.74789,5.0472
53.074,32.866,2403,2011,59.605,-92.988,0.51107,-16.768
53.074,32.866,6554,2011,59.605,-92.988,0.25755,-32.043
53.074,32.866,3621,2011,59.605,-92.988,-0.55478,-6.7925
53.074,32.866,8,2011,74.419,-169.57,-0.46149,-1.1109
53.074,32.866,4128,2011,74.419,-169.57,0.86478,-13.462
53.074,32.866,3336,2011,74.419,-169.57,0.83612,-17.014
53.074,32.866,4437,2011,74.419,-169.57,0.59432,-5.3296
53.074,32.866,1804,2011,74.419,-169.57,0.42239,-18.371
53.074,32.866,2111,2011,74.419,-169.57,0.58649,-32.33
53.074,32.866,5617,2011,74.419,-169.57,0.76629,-23.635
53.074,32.866,5811,2011,74.419,-169.57,0.64394,-16.064
